YTD ,Tüm gün gelen adetlerin slot yetişme oranları v1+v2+v3 (Planlamanın takip ettiği metot),,,,,,,Tüm gün gelen adetlerin Inbound geliş saatleri,,,,,,,,,,,,,,,,,,,,,,,,,
10,"57,87%","24,07%",418.497,174.082,723.172,802.924,,%,"11,21%","3,88%","4,50%","8,31%","7,70%","12,06%","8,87%","5,65%","6,05%","7,54%","5,94%","2,71%","1,61%","1,65%","2,54%","1,10%","0,45%","1,31%","1,27%","0,44%","0,69%","0,75%","1,49%","2,30%",
Ankara Kazan SC,"65,95%","19,82%",126.565,38.038,191.925,208.254,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"62,69%","21,32%",109.666,37.288,174.920,180.527,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"54,38%","26,75%",56.922,28.003,104.666,110.448,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"33,21%","39,37%",30.619,36.293,92.189,95.396,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"71,16%","11,87%",23.149,3.861,32.533,34.172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"46,07%","29,65%",15.962,10.274,34.651,35.909,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"88,15%","4,97%",32.851,1.851,37.269,49.083,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"51,65%","26,79%",21.225,11.007,41.092,43.998,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"11,04%","53,62%",1.538,7.467,13.927,45.137,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"55,54%","29,62%",15.135,8.071,27.251,27.829,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"9,53%","55,11%",2.078,12.020,21.810,45.137,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"63,10%","19,08%",496.992,150.299,787.611,898.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"71,72%","14,44%",147.696,29.727,205.932,227.648,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"71,75%","17,00%",141.628,33.551,197.385,203.918,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"63,03%","17,94%",69.489,19.777,110.244,120.529,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"40,04%","27,14%",42.984,29.134,107.343,111.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"70,21%","14,62%",19.243,4.008,27.406,35.484,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"54,32%","25,17%",20.302,9.407,37.373,46.519,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"74,89%","11,96%",31.086,4.964,41.509,55.207,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"50,33%","26,25%",22.652,11.816,45.005,48.821,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"12,40%","51,35%",1.912,7.915,15.414,48.953,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"42,47%","39,93%",14.827,13.940,34.913,36.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"9,56%","55,03%",2.129,12.259,22.278,48.953,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"65,81%","17,85%",300.026,81.378,455.874,515.270,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"79,13%","11,93%",82.688,12.466,104.498,117.724,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"72,98%","13,28%",81.990,14.921,112.348,116.447,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"58,08%","19,35%",44.459,14.812,76.549,82.601,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"52,65%","26,15%",31.032,15.412,58.942,61.382,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"64,34%","17,53%",12.152,3.311,18.888,22.157,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"50,97%","28,39%",13.449,7.490,26.387,29.266,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"69,36%","14,23%",16.477,3.381,23.755,31.874,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"54,86%","25,55%",14.809,6.896,26.992,29.792,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"39,52%","35,78%",2.970,2.689,7.515,24.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"33,46%","36,39%",7.079,7.700,21.158,21.586,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"19,24%","51,32%",2.196,5.857,11.413,22.775,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"55,11%","24,75%",375.474,168.665,681.341,753.270,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"64,23%","20,96%",121.666,39.708,189.431,209.521,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"60,32%","24,28%",93.310,37.569,154.701,160.891,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"40,87%","31,99%",42.287,33.105,103.477,111.072,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"32,15%","34,16%",29.289,31.125,91.106,94.519,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"70,20%","14,19%",20.029,4.048,28.533,35.877,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"53,68%","23,86%",21.570,9.590,40.186,46.450,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"73,03%","12,36%",27.263,4.615,37.330,55.058,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"54,84%","24,35%",20.061,8.905,36.578,39.882,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"0,01%","57,79%",1,8.173,14.143,43.604,,,,,,,,,,,,,,,,,,,,,,,,,,,
